sensitivity_biomarker;cohorts_max;trial_struc;sharing_type;cohort_random;n_int;setting;Avg_Pat;Avg_Cohorts;PTP;PTT1ER;FWER;Disj_Power
0.9;7;all_plac;all;0.01;50;Setting2;105,95;1,96;;0,00;0,00;
0.9;3;no_plac;all;0.01;50;Setting1;108,30;1,73;;0,04;0,06;
0.9;3;no_plac;dynamic;0.01;50;Setting13;107,10;1,72;;0,04;0,06;
0.65;3;no_plac;dynamic;0.01;50;Setting13;107,56;1,72;;0,05;0,08;
0.65;5;all_plac;all;0.01;50;Setting6;103,89;1,89;;0,00;0,01;
0.9;7;stop_post_mono;all;0.01;50;Setting13;110,26;2,00;;0,01;0,01;
0.65;5;stop_post_mono;all;0.01;50;Setting6;103,02;1,87;;0,01;0,01;
0.9;7;stop_post_mono;all;0.01;50;Setting2;107,47;1,96;;0,00;0,01;
0.65;7;stop_post_back;all;0.01;50;Setting2;107,82;1,97;;0,01;0,01;
0.65;7;stop_post_mono;all;0.01;50;Setting2;108,03;1,98;;0,01;0,01;
0.9;7;stop_post_back;all;0.01;50;Setting2;107,49;1,97;;0,00;0,01;
0.9;5;all_plac;all;0.01;50;Setting6;108,85;1,92;;0,01;0,01;
0.9;3;no_plac;dynamic;0.01;50;Setting2;106,93;1,72;;0,04;0,07;
0.65;3;no_plac;all;0.01;50;Setting2;107,22;1,71;;0,05;0,08;
0.9;3;no_plac;all;0.01;50;Setting6;108,62;1,73;;0,04;0,07;
0.65;7;all_plac;all;0.01;50;Setting6;110,42;2,01;;0,00;0,01;
0.65;3;no_plac;dynamic;0.01;50;Setting2;107,90;1,73;;0,05;0,08;
0.9;5;stop_post_mono;all;0.01;50;Setting6;109,75;1,92;;0,01;0,02;
0.9;3;no_plac;dynamic;0.01;50;Setting6;108,29;1,73;;0,04;0,06;
0.65;5;no_plac;all;0.01;50;Setting6;130,36;2,06;;0,05;0,09;
0.65;7;stop_post_back;all;0.01;50;Setting6;111,00;2,00;;0,01;0,01;
0.65;3;no_plac;all;0.01;50;Setting6;109,73;1,74;;0,05;0,08;
0.65;7;stop_post_mono;all;0.01;50;Setting6;111,41;2,00;;0,01;0,01;
0.65;3;no_plac;dynamic;0.01;50;Setting6;109,95;1,75;;0,05;0,08;
0.9;7;all_plac;all;0.01;50;Setting6;117,14;2,05;;0,01;0,01;
0.65;5;no_plac;all;0.01;50;Setting13;129,23;2,04;;0,05;0,09;
0.9;7;stop_post_back;all;0.01;50;Setting6;117,31;2,04;;0,01;0,02;
0.9;5;no_plac;all;0.01;50;Setting1;129,12;2,05;;0,04;0,07;
0.9;7;stop_post_mono;all;0.01;50;Setting6;117,57;2,05;;0,01;0,03;
0.65;5;no_plac;all;0.01;50;Setting1;129,51;2,04;;0,05;0,09;
0.9;5;no_plac;all;0.01;50;Setting13;129,77;2,04;;0,04;0,09;
0.9;5;no_plac;all;0.01;50;Setting2;127,90;2,03;;0,04;0,08;
0.65;5;no_plac;all;0.01;50;Setting2;128,90;2,04;;0,05;0,09;
0.9;7;no_plac;all;0.01;50;Setting1;136,82;2,17;;0,03;0,07;
0.65;7;no_plac;all;0.01;50;Setting1;137,24;2,16;;0,05;0,09;
0.65;7;no_plac;all;0.01;50;Setting13;140,90;2,22;;0,05;0,10;
0.9;5;no_plac;all;0.01;50;Setting6;128,16;2,02;;0,04;0,08;
0.9;7;no_plac;all;0.01;50;Setting13;142,05;2,21;;0,05;0,10;
0.9;7;no_plac;all;0.01;50;Setting2;136,62;2,17;;0,04;0,08;
0.65;7;no_plac;all;0.01;50;Setting2;137,63;2,18;;0,05;0,10;
0.9;7;no_plac;all;0.01;50;Setting6;138,25;2,18;;0,04;0,08;
0.65;7;no_plac;all;0.01;50;Setting6;138,65;2,19;;0,05;0,10;
0.9;3;stop_post_mono;dynamic;0.01;50;Setting13;88,58;1,65;;0,00;0,00;
0.9;3;stop_post_mono;dynamic;0.01;50;Setting2;88,21;1,64;;0,00;0,00;
0.9;3;stop_post_mono;dynamic;0.01;50;Setting1;87,12;1,63;;0,00;0,00;
0.9;3;stop_post_mono;dynamic;0.01;50;Setting6;93,38;1,67;;0,01;0,01;
0.65;5;all_plac;dynamic;0.01;50;Setting6;102,44;1,87;;0,00;0,00;
0.65;7;all_plac;dynamic;0.01;50;Setting1;106,17;1,97;;0,00;0,00;
0.9;5;all_plac;dynamic;0.01;50;Setting1;99,06;1,85;;0,00;0,00;
0.65;7;stop_post_mono;dynamic;0.01;50;Setting1;108,20;1,98;;0,01;0,01;
0.65;5;all_plac;dynamic;0.01;50;Setting1;102,34;1,89;;0,00;0,00;
0.65;3;all_plac;concurrent;0.01;50;Setting13;88,49;1,64;;0,00;0,00;
0.65;3;all_plac;concurrent;0.01;50;Setting1;89,35;1,65;;0,00;0,00;
0.9;7;stop_post_back;dynamic;0.01;50;Setting13;105,70;1,94;;0,00;0,01;
0.65;5;all_plac;dynamic;0.01;50;Setting13;101,62;1,88;;0,00;0,00;
0.9;5;all_plac;dynamic;0.01;50;Setting13;101,12;1,88;;0,00;0,00;
0.9;5;stop_post_back;dynamic;0.01;50;Setting1;99,68;1,85;;0,00;0,00;
0.9;3;stop_post_back;concurrent;0.01;50;Setting2;88,48;1,64;;0,00;0,01;
0.9;3;all_plac;concurrent;0.01;50;Setting1;87,45;1,63;;0,00;0,00;
0.9;5;stop_post_back;dynamic;0.01;50;Setting13;101,16;1,87;;0,00;0,01;
0.65;5;all_plac;dynamic;0.01;50;Setting2;100,82;1,87;;0,00;0,00;
0.9;3;all_plac;concurrent;0.01;50;Setting13;88,03;1,64;;0,00;0,00;
0.9;7;stop_post_back;dynamic;0.01;50;Setting2;107,04;1,97;;0,00;0,01;
0.9;5;stop_post_mono;dynamic;0.01;50;Setting13;101,04;1,86;;0,00;0,01;
0.65;5;stop_post_back;dynamic;0.01;50;Setting13;102,43;1,89;;0,00;0,01;
0.65;5;stop_post_back;dynamic;0.01;50;Setting1;102,44;1,89;;0,00;0,01;
0.9;5;stop_post_mono;dynamic;0.01;50;Setting1;101,04;1,87;;0,00;0,00;
0.9;5;all_plac;dynamic;0.01;50;Setting2;100,10;1,86;;0,00;0,00;
0.65;5;stop_post_mono;dynamic;0.01;50;Setting13;102,67;1,88;;0,00;0,01;
0.65;5;stop_post_mono;dynamic;0.01;50;Setting1;102,58;1,88;;0,00;0,01;
0.9;3;no_plac;concurrent;0.01;50;Setting13;108,01;1,73;;0,04;0,06;
0.65;7;all_plac;dynamic;0.01;50;Setting13;105,66;1,95;;0,00;0,00;
0.9;7;all_plac;dynamic;0.01;50;Setting1;104,17;1,94;;0,00;0,00;
0.65;7;stop_post_mono;dynamic;0.01;50;Setting13;107,89;1,97;;0,01;0,01;
0.9;3;stop_post_back;concurrent;0.01;50;Setting1;87,44;1,63;;0,00;0,00;
0.9;3;stop_post_back;concurrent;0.01;50;Setting13;88,42;1,64;;0,00;0,00;
0.65;3;stop_post_back;concurrent;0.01;50;Setting13;88,83;1,64;;0,00;0,00;
0.9;7;all_plac;dynamic;0.01;50;Setting13;107,16;1,99;;0,00;0,00;
0.65;5;stop_post_back;dynamic;0.01;50;Setting2;101,75;1,87;;0,00;0,01;
0.65;3;stop_post_back;concurrent;0.01;50;Setting1;89,74;1,66;;0,00;0,00;
0.9;7;all_plac;dynamic;0.01;50;Setting2;106,47;1,97;;0,00;0,00;
0.65;3;stop_post_mono;concurrent;0.01;50;Setting13;88,64;1,64;;0,00;0,00;
0.9;5;stop_post_back;dynamic;0.01;50;Setting2;101,69;1,87;;0,00;0,01;
0.9;5;stop_post_mono;dynamic;0.01;50;Setting2;100,94;1,86;;0,00;0,01;
0.65;3;all_plac;concurrent;0.01;50;Setting2;88,77;1,64;;0,00;0,00;
0.9;3;stop_post_mono;concurrent;0.01;50;Setting1;87,63;1,63;;0,00;0,01;
0.9;7;stop_post_back;dynamic;0.01;50;Setting1;105,82;1,96;;0,00;0,01;
0.9;3;all_plac;concurrent;0.01;50;Setting2;87,93;1,63;;0,00;0,00;
0.9;3;stop_post_mono;concurrent;0.01;50;Setting13;89,06;1,65;;0,00;0,00;
0.65;5;stop_post_mono;dynamic;0.01;50;Setting2;102,42;1,88;;0,00;0,01;
0.65;3;stop_post_mono;concurrent;0.01;50;Setting1;90,08;1,66;;0,00;0,00;
0.9;5;all_plac;dynamic;0.01;50;Setting6;107,60;1,92;;0,01;0,01;
0.65;7;stop_post_back;dynamic;0.01;50;Setting13;109,18;2,00;;0,01;0,01;
0.65;3;stop_post_back;concurrent;0.01;50;Setting2;88,78;1,64;;0,00;0,00;
0.65;7;all_plac;dynamic;0.01;50;Setting2;106,56;1,97;;0,00;0,00;
0.9;7;stop_post_mono;dynamic;0.01;50;Setting1;107,03;1,97;;0,00;0,01;
0.65;7;stop_post_back;dynamic;0.01;50;Setting2;106,95;1,96;;0,00;0,01;
0.65;5;stop_post_back;dynamic;0.01;50;Setting6;102,34;1,86;;0,00;0,01;
0.9;3;stop_post_mono;concurrent;0.01;50;Setting2;88,33;1,63;;0,00;0,01;
0.65;3;stop_post_mono;concurrent;0.01;50;Setting2;89,06;1,64;;0,00;0,00;
0.65;5;stop_post_mono;dynamic;0.01;50;Setting6;102,81;1,87;;0,01;0,01;
0.65;3;stop_post_back;concurrent;0.01;50;Setting6;90,70;1,65;;0,00;0,01;
0.65;7;stop_post_back;dynamic;0.01;50;Setting1;108,01;1,99;;0,00;0,01;
0.9;3;all_plac;concurrent;0.01;50;Setting6;93,37;1,66;;0,01;0,01;
0.65;3;all_plac;concurrent;0.01;50;Setting6;91,04;1,66;;0,00;0,00;
0.65;5;no_plac;dynamic;0.01;50;Setting2;127,90;2,03;;0,04;0,09;
0.9;5;all_plac;concurrent;0.01;50;Setting1;99,34;1,85;;0,00;0,00;
0.9;5;stop_post_back;dynamic;0.01;50;Setting6;108,75;1,92;;0,01;0,02;
0.65;5;all_plac;concurrent;0.01;50;Setting1;102,00;1,88;;0,00;0,00;
0.65;5;all_plac;concurrent;0.01;50;Setting13;103,06;1,90;;0,00;0,00;
0.9;5;no_plac;dynamic;0.01;50;Setting13;127,13;2,02;;0,04;0,08;
0.9;7;stop_post_mono;dynamic;0.01;50;Setting13;107,42;1,97;;0,01;0,01;
0.9;5;stop_post_mono;dynamic;0.01;50;Setting6;107,84;1,91;;0,01;0,02;
0.9;7;no_plac;dynamic;0.01;50;Setting1;137,25;2,19;;0,03;0,07;
0.65;3;no_plac;concurrent;0.01;50;Setting1;108,67;1,74;;0,05;0,08;
0.9;5;all_plac;concurrent;0.01;50;Setting13;101,23;1,87;;0,00;0,00;
0.65;7;all_plac;dynamic;0.01;50;Setting6;109,99;2,01;;0,00;0,01;
0.65;3;no_plac;concurrent;0.01;50;Setting13;108,88;1,73;;0,04;0,07;
0.65;3;stop_post_mono;concurrent;0.01;50;Setting6;90,78;1,65;;0,00;0,01;
0.9;3;no_plac;concurrent;0.01;50;Setting1;108,37;1,73;;0,03;0,06;
0.9;5;no_plac;dynamic;0.01;50;Setting1;126,62;2,03;;0,04;0,07;
0.9;3;stop_post_back;concurrent;0.01;50;Setting6;93,64;1,67;;0,01;0,01;
0.65;5;no_plac;dynamic;0.01;50;Setting1;128,96;2,04;;0,04;0,09;
0.65;5;no_plac;dynamic;0.01;50;Setting13;128,64;2,03;;0,05;0,09;
0.65;5;all_plac;concurrent;0.01;50;Setting2;101,40;1,87;;0,00;0,00;
0.9;7;stop_post_mono;dynamic;0.01;50;Setting2;106,28;1,95;;0,01;0,01;
0.9;3;stop_post_mono;concurrent;0.01;50;Setting6;93,25;1,66;;0,01;0,01;
0.9;7;all_plac;dynamic;0.01;50;Setting6;114,38;2,03;;0,01;0,01;
0.65;7;stop_post_mono;dynamic;0.01;50;Setting2;108,83;1,99;;0,00;0,01;
0.9;5;all_plac;concurrent;0.01;50;Setting2;101,69;1,88;;0,00;0,00;
0.9;5;no_plac;dynamic;0.01;50;Setting2;125,99;2,01;;0,04;0,08;
0.65;3;no_plac;concurrent;0.01;50;Setting2;108,82;1,73;;0,05;0,08;
0.65;7;stop_post_back;dynamic;0.01;50;Setting6;109,83;1,98;;0,01;0,01;
0.9;3;no_plac;concurrent;0.01;50;Setting2;108,19;1,72;;0,04;0,07;
0.9;5;no_plac;dynamic;0.01;50;Setting6;126,32;2,02;;0,04;0,08;
0.65;7;no_plac;dynamic;0.01;50;Setting1;137,18;2,17;;0,04;0,09;
0.9;5;stop_post_back;concurrent;0.01;50;Setting1;100,00;1,85;;0,00;0,01;
0.9;7;no_plac;dynamic;0.01;50;Setting13;139,07;2,19;;0,04;0,08;
0.65;7;stop_post_mono;dynamic;0.01;50;Setting6;110,11;1,99;;0,01;0,01;
0.65;5;no_plac;dynamic;0.01;50;Setting6;129,69;2,06;;0,05;0,09;
0.65;7;no_plac;dynamic;0.01;50;Setting6;138,45;2,19;;0,05;0,10;
0.65;7;no_plac;dynamic;0.01;50;Setting13;140,03;2,21;;0,04;0,09;
0.65;5;all_plac;concurrent;0.01;50;Setting6;103,30;1,88;;0,00;0,01;
0.9;7;stop_post_back;dynamic;0.01;50;Setting6;116,74;2,05;;0,01;0,02;
0.9;5;no_plac;concurrent;0.01;50;Setting6;129,48;2,04;;0,04;0,08;
0.65;7;no_plac;dynamic;0.01;50;Setting2;137,50;2,18;;0,05;0,10;
0.9;3;no_plac;concurrent;0.01;50;Setting6;109,05;1,74;;0,04;0,07;
0.65;3;no_plac;concurrent;0.01;50;Setting6;109,52;1,74;;0,05;0,08;
0.9;7;no_plac;dynamic;0.01;50;Setting2;136,92;2,17;;0,04;0,08;
0.9;7;stop_post_mono;dynamic;0.01;50;Setting6;117,21;2,06;;0,01;0,02;
0.9;5;all_plac;concurrent;0.01;50;Setting6;109,80;1,94;;0,01;0,01;
0.65;5;stop_post_back;concurrent;0.01;50;Setting1;102,42;1,88;;0,00;0,01;
0.65;5;stop_post_back;concurrent;0.01;50;Setting13;103,19;1,89;;0,00;0,01;
0.9;7;no_plac;dynamic;0.01;50;Setting6;137,61;2,18;;0,04;0,08;
0.9;5;stop_post_back;concurrent;0.01;50;Setting13;101,86;1,88;;0,00;0,01;
0.65;5;no_plac;concurrent;0.01;50;Setting2;129,75;2,05;;0,05;0,09;
0.65;5;stop_post_back;concurrent;0.01;50;Setting2;101,68;1,86;;0,00;0,01;
0.9;5;stop_post_back;concurrent;0.01;50;Setting2;102,05;1,87;;0,00;0,01;
0.65;5;stop_post_back;concurrent;0.01;50;Setting6;103,93;1,88;;0,01;0,01;
0.65;5;no_plac;concurrent;0.01;50;Setting13;128,96;2,04;;0,04;0,08;
0.9;5;no_plac;concurrent;0.01;50;Setting1;127,18;2,02;;0,04;0,07;
0.9;5;stop_post_back;concurrent;0.01;50;Setting6;108,85;1,91;;0,01;0,02;
0.9;5;no_plac;concurrent;0.01;50;Setting13;128,94;2,04;;0,04;0,08;
0.65;5;no_plac;concurrent;0.01;50;Setting1;129,17;2,03;;0,04;0,09;
0.65;5;no_plac;concurrent;0.01;50;Setting6;129,90;2,06;;0,05;0,09;
0.9;5;no_plac;concurrent;0.01;50;Setting2;126,51;2,01;;0,04;0,08;
0.65;5;stop_post_mono;concurrent;0.01;50;Setting13;104,18;1,90;;0,00;0,01;
0.65;5;stop_post_mono;concurrent;0.01;50;Setting2;102,08;1,86;;0,00;0,01;
0.65;5;stop_post_mono;concurrent;0.01;50;Setting1;102,11;1,87;;0,00;0,01;
0.65;3;all_plac;cohort;0.01;50;Setting13;89,03;1,65;;0,00;0,00;
0.65;7;all_plac;concurrent;0.01;50;Setting13;105,78;1,95;;0,00;0,00;
0.9;5;stop_post_mono;concurrent;0.01;50;Setting13;101,54;1,87;;0,01;0,01;
0.9;5;stop_post_mono;concurrent;0.01;50;Setting1;101,07;1,86;;0,00;0,01;
0.65;3;stop_post_mono;cohort;0.01;50;Setting13;89,20;1,65;;0,00;0,01;
0.65;7;all_plac;concurrent;0.01;50;Setting2;108,40;2,00;;0,00;0,00;
0.65;7;all_plac;concurrent;0.01;50;Setting6;109,27;1,99;;0,00;0,00;
0.9;3;all_plac;cohort;0.01;50;Setting13;88,18;1,64;;0,00;0,00;
0.65;7;all_plac;concurrent;0.01;50;Setting1;107,73;1,99;;0,00;0,00;
0.9;7;all_plac;concurrent;0.01;50;Setting2;106,38;1,96;;0,00;0,00;
0.9;7;all_plac;concurrent;0.01;50;Setting1;105,74;1,96;;0,00;0,00;
0.65;5;stop_post_mono;concurrent;0.01;50;Setting6;104,20;1,88;;0,01;0,01;
0.65;3;all_plac;cohort;0.01;50;Setting1;89,79;1,67;;0,00;0,00;
0.65;3;stop_post_back;cohort;0.01;50;Setting13;89,10;1,65;;0,00;0,01;
0.9;3;all_plac;cohort;0.01;50;Setting1;87,85;1,64;;0,00;0,00;
0.9;3;stop_post_back;cohort;0.01;50;Setting13;88,71;1,64;;0,00;0,00;
0.9;3;stop_post_back;cohort;0.01;50;Setting1;87,97;1,64;;0,00;0,01;
0.9;3;stop_post_mono;cohort;0.01;50;Setting13;88,37;1,64;;0,00;0,01;
0.9;7;all_plac;concurrent;0.01;50;Setting13;106,29;1,97;;0,00;0,00;
0.9;5;stop_post_mono;concurrent;0.01;50;Setting6;108,91;1,91;;0,01;0,02;
0.9;3;all_plac;cohort;0.01;50;Setting2;88,48;1,64;;0,00;0,00;
0.65;3;all_plac;cohort;0.01;50;Setting2;89,11;1,65;;0,00;0,00;
0.9;5;stop_post_mono;concurrent;0.01;50;Setting2;103,32;1,89;;0,00;0,01;
0.9;3;stop_post_mono;cohort;0.01;50;Setting1;87,93;1,63;;0,00;0,01;
0.65;3;stop_post_back;cohort;0.01;50;Setting1;90,32;1,67;;0,00;0,01;
0.65;3;stop_post_mono;cohort;0.01;50;Setting1;90,41;1,67;;0,00;0,01;
0.65;3;stop_post_back;cohort;0.01;50;Setting2;89,31;1,65;;0,00;0,01;
0.9;7;stop_post_back;concurrent;0.01;50;Setting13;106,95;1,96;;0,00;0,01;
0.9;3;stop_post_back;cohort;0.01;50;Setting2;88,34;1,64;;0,00;0,01;
0.9;7;stop_post_back;concurrent;0.01;50;Setting1;107,30;1,97;;0,00;0,01;
0.65;7;stop_post_back;concurrent;0.01;50;Setting13;107,79;1,97;;0,00;0,01;
0.65;7;stop_post_back;concurrent;0.01;50;Setting1;108,56;1,99;;0,00;0,01;
0.65;3;stop_post_mono;cohort;0.01;50;Setting2;89,13;1,64;;0,00;0,01;
0.65;5;all_plac;cohort;0.01;50;Setting1;102,14;1,89;;0,00;0,01;
0.65;7;stop_post_mono;concurrent;0.01;50;Setting13;107,58;1,96;;0,01;0,01;
0.65;5;all_plac;cohort;0.01;50;Setting13;102,85;1,90;;0,00;0,01;
0.9;3;stop_post_mono;cohort;0.01;50;Setting2;88,60;1,64;;0,00;0,01;
0.9;7;stop_post_mono;concurrent;0.01;50;Setting13;110,06;2,00;;0,01;0,01;
0.9;7;stop_post_mono;concurrent;0.01;50;Setting1;108,69;1,99;;0,01;0,01;
0.65;7;stop_post_mono;concurrent;0.01;50;Setting1;110,01;2,00;;0,00;0,01;
0.9;7;stop_post_back;concurrent;0.01;50;Setting2;107,34;1,96;;0,01;0,01;
0.9;7;stop_post_mono;concurrent;0.01;50;Setting2;108,04;1,96;;0,01;0,01;
0.65;3;all_plac;cohort;0.01;50;Setting6;90,95;1,67;;0,00;0,01;
0.65;7;no_plac;concurrent;0.01;50;Setting1;139,76;2,20;;0,05;0,09;
0.65;7;stop_post_mono;concurrent;0.01;50;Setting2;108,79;1,98;;0,01;0,01;
0.65;7;stop_post_back;concurrent;0.01;50;Setting2;108,78;1,98;;0,00;0,01;
0.9;3;all_plac;cohort;0.01;50;Setting6;92,84;1,67;;0,01;0,01;
0.65;3;no_plac;cohort;0.01;50;Setting13;108,67;1,73;;0,04;0,07;
0.65;3;stop_post_back;cohort;0.01;50;Setting6;90,52;1,66;;0,00;0,01;
0.9;5;all_plac;cohort;0.01;50;Setting1;100,74;1,88;;0,00;0,00;
0.9;5;all_plac;cohort;0.01;50;Setting13;101,57;1,89;;0,00;0,00;
0.65;5;all_plac;cohort;0.01;50;Setting6;103,94;1,91;;0,00;0,01;
0.9;3;no_plac;cohort;0.01;50;Setting13;107,88;1,73;;0,04;0,07;
0.9;3;no_plac;cohort;0.01;50;Setting1;106,42;1,73;;0,04;0,07;
