Short Term Endpoint Quality,Maximum number of cohorts,Type of Data Sharing,Cohort Inclusion Rate,Final Cohort Sample Size,Interim Futility Stopping,Treatment Efficacy Setting,Avg_Pat,Avg_Pat_First_Suc,Avg_Perc_Pat_Sup_Plac_Th,Avg_Perc_Pat_Sup_Plac_Real,Avg_Pat_Comb,Avg_Pat_Mono,Avg_Pat_Back,Avg_Pat_Plac,Avg_Pat_Plac_First_Suc,Avg_Pat_Plac_Pool,Avg_Suc_Hist,Avg_Suc_Hist_Comb,Avg_Suc_Hist_Mono,Avg_Suc_Hist_Back,Avg_Suc_Hist_Plac,Avg_Suc_Bio,Avg_Suc_Bio_Comb,Avg_Suc_Bio_Mono,Avg_Suc_Bio_Back,Avg_Suc_Bio_Plac,Avg_Cohorts,Avg_Cohorts_First_Suc,Avg_TP,Avg_FP,Avg_TN,Avg_FN,Avg_any_P,FDR,PTP,PTT1ER,FWER,Disj_Power,FWER_BA,Disj_Power_BA
0.9,3,dynamic,0.01,100,Yes,Setting 5,103.5236,141.826087,0.773908803,0.773908803,29.9448,29.9448,21.817,21.817,28.32608696,103.5236,18.553,6.002,5.9997,4.3731,2.1782,25.2028,7.8021,7.788,5.6875,3.9252,1.7048,2.043478261,0,0.0046,1.7002,0,0.0046,1,,0.002698264,0.0046,,0.0046,0
1,3,dynamic,0.01,100,Yes,Setting 5,107.8348,131.0666667,0.774868968,0.774868968,31.3201,31.3201,22.5973,22.5973,25.91111111,107.8348,19.3505,6.2816,6.2839,4.5388,2.2462,19.3505,6.2816,6.2839,4.5388,2.2462,1.7265,1.955555556,0,0.0092,1.7173,0,0.009,1,,0.0053287,0.009,,0.009,0
0.65,3,dynamic,0.01,100,Yes,Setting 12,104.766,176.2318841,0.774362164,0.774362164,30.35,30.35,22.033,22.033,33.82898551,104.766,26.5719,12.6744,6.6291,4.7461,2.5223,44.6479,14.4175,12.6208,9.1727,8.4369,1.7143,2.365217391,0.0374,0,0,1.6769,0.0345,0,0.021816485,,,0.0345,0,0.0345
0.65,5,dynamic,0.01,100,Yes,Setting 5,114.4144,187.5294118,0.776362473,0.776362473,34.251,34.251,22.9562,22.9562,36.11764706,114.4144,20.5777,6.8567,6.8679,4.5651,2.288,46.202,14.0412,14.0293,9.3967,8.7348,1.9668,2.882352941,0,0.0017,1.9651,0,0.0017,1,,0.000864348,0.0017,,0.0017,0
0.9,3,dynamic,0.01,100,Yes,Setting 12,131.7548,179.8235294,0.778236218,0.778236218,38.8585,38.8585,27.0189,27.0189,33.60294118,131.7548,33.8234,16.3237,8.5626,5.813,3.1241,40.2455,16.946,10.731,7.3586,5.2099,1.8203,2.374567474,0.1341,0,0,1.6862,0.1157,0,0.073669175,,,0.1157,0,0.1157
0.9,5,dynamic,0.01,100,Yes,Setting 5,123.2828,215.2307692,0.777465849,0.777465849,37.2809,37.2809,24.3605,24.3605,36.75,123.2828,22.2729,7.4795,7.4896,4.8803,2.4235,30.1762,9.7032,9.7358,6.3695,4.3677,2.0153,3.230769231,0,0.0053,2.01,0,0.0052,1,,0.002629881,0.0052,,0.0052,0
1,5,dynamic,0.01,100,Yes,Setting 5,129.8084,197.9405941,0.778313629,0.778313629,39.4245,39.4245,25.4797,25.4797,33.18811881,129.8084,23.3682,7.8944,7.8656,5.0715,2.5367,23.3682,7.8944,7.8656,5.0715,2.5367,2.0513,3.108910891,0,0.0102,2.0411,0,0.0101,1,,0.004972456,0.0101,,0.0101,0
1,3,dynamic,0.01,100,Yes,Setting 12,145.6288,165.0133333,0.780508662,0.780508662,43.3315,43.3315,29.4829,29.4829,30.86060606,145.6288,37.7534,18.2264,9.6182,6.4296,3.4792,37.7534,18.2264,9.6182,6.4296,3.4792,1.8774,2.267878788,0.1939,0,0,1.6835,0.1653,0,0.103281133,,,0.1653,0,0.1653
0.65,5,dynamic,0.01,100,Yes,Setting 12,124.4596,238.3069767,0.777498725,0.777498725,37.5794,37.5794,24.6504,24.6504,40.80697674,124.4596,33.7517,16.2899,8.8134,5.5547,3.0937,53.6558,18.033,15.7861,10.3152,9.5215,2.0189,3.406976744,0.0487,0,0,1.9702,0.0431,0,0.024122047,,,0.0431,0,0.0431
0.65,7,dynamic,0.01,100,Yes,Setting 5,123.7732,260.8571429,0.777383744,0.777383744,37.8405,37.8405,24.0461,24.0461,44.35714286,123.7732,22.2922,7.5785,7.5472,4.7797,2.3868,49.97,15.5075,15.4767,9.8729,9.1129,2.1126,3.714285714,0,0.0014,2.1112,0,0.0014,1,,0.000662691,0.0014,,0.0014,0
0.9,7,dynamic,0.01,100,Yes,Setting 5,133.4192,251.8431373,0.778577608,0.778577608,41.1368,41.1368,25.5728,25.5728,40.2745098,133.4192,24.154,8.2385,8.229,5.1374,2.5491,32.7118,10.7181,10.7111,6.6618,4.6208,2.1793,3.803921569,0,0.0052,2.1741,0,0.0052,1,,0.002386087,0.0052,,0.0052,0
0.65,7,dynamic,0.01,100,Yes,Setting 12,134.596,294.3157895,0.778757892,0.778757892,41.5619,41.5619,25.7361,25.7361,46.50219298,134.596,38.0829,18.4746,10.1686,6.0183,3.4214,58.5031,20.0729,17.6377,10.7967,9.9958,2.1753,4.265350877,0.0555,0,0,2.1198,0.0459,0,0.025513722,,,0.0459,0,0.0459
0.9,5,dynamic,0.01,100,Yes,Setting 12,168.624,258.6327078,0.783788425,0.783788425,52.63,52.63,31.682,31.682,42.47252011,168.624,47.2826,23.1694,12.6027,7.3404,4.1701,54.7521,23.8106,15.3544,9.0654,6.5217,2.2811,3.491957105,0.1997,0,0,2.0814,0.1497,0,0.087545482,,,0.1497,0,0.1497
0.65,3,concurrent,0.01,100,Yes,Setting 5,100.5116,134.4827586,0.774067851,0.774067851,29.108,29.108,21.1478,21.1478,26.86206897,100.5116,17.9676,5.8209,5.8232,4.2298,2.0937,40.4802,11.8854,11.9299,8.6607,8.0042,1.6974,2.137931034,0,0.0029,1.6945,0,0.0029,1,,0.001708495,0.0029,,0.0029,0
0.9,3,concurrent,0.01,100,Yes,Setting 5,108.7512,157.375,0.774567482,0.774567482,31.6203,31.6203,22.7553,22.7553,29.640625,108.7512,19.5183,6.357,6.3153,4.5992,2.2468,26.5188,8.2473,8.2383,5.959,4.0742,1.7254,2.40625,0,0.0064,1.719,0,0.0064,1,,0.003709285,0.0064,,0.0064,0
1,5,dynamic,0.01,100,Yes,Setting 12,188.6232,232.6577859,0.786352616,0.786352616,59.4729,59.4729,34.8387,34.8387,37.96371153,188.6232,53.3047,26.2362,14.2986,8.1394,4.6305,53.3047,26.2362,14.2986,8.1394,4.6305,2.3812,3.23426734,0.3062,0,0,2.075,0.2185,0,0.128590627,,,0.2185,0,0.2185
1,3,concurrent,0.01,100,Yes,Setting 5,116.0996,163.6049383,0.776114154,0.776114154,34.0075,34.0075,24.0423,24.0423,29.35802469,116.0996,20.8602,6.8415,6.7954,4.8267,2.3966,20.8602,6.8415,6.7954,4.8267,2.3966,1.7552,2.37037037,0,0.0083,1.7469,0,0.0081,1,,0.004728806,0.0081,,0.0081,0
1,7,dynamic,0.01,100,Yes,Setting 5,140.0824,238.122449,0.779085778,0.779085778,43.3793,43.3793,26.6619,26.6619,38.2244898,140.0824,25.3754,8.6693,8.6966,5.3339,2.6756,25.3754,8.6693,8.6966,5.3339,2.6756,2.2117,3.755102041,0,0.0104,2.2013,0,0.0098,1,,0.004702265,0.0098,,0.0098,0
0.65,5,concurrent,0.01,100,Yes,Setting 5,117.9452,219.2380952,0.777090467,0.777090467,35.549,35.549,23.4236,23.4236,36.61904762,117.9452,21.2177,7.0923,7.1091,4.687,2.3293,47.6131,14.5467,14.5772,9.5812,8.908,1.9954,3.428571429,0,0.0022,1.9932,0,0.0022,1,,0.001102536,0.0022,,0.0022,0
0.65,3,concurrent,0.01,100,Yes,Setting 12,107.292,176.7702407,0.774783599,0.774783599,31.2104,31.2104,22.4356,22.4356,33.45295405,107.292,27.3281,13.0627,6.8523,4.8243,2.5888,45.7771,14.8442,12.9911,9.3267,8.6151,1.7247,2.411378556,0.0495,0,0,1.6752,0.0457,0,0.028700644,,,0.0457,0,0.0457
0.9,7,dynamic,0.01,100,Yes,Setting 12,192.2584,316.6633292,0.785589525,0.785589525,61.9237,61.9237,34.2055,34.2055,47.94555695,192.2584,57.4889,28.2464,15.9586,8.3402,4.9437,65.1427,28.7566,18.9446,10.0623,7.3792,2.5663,4.317271589,0.2428,0,0,2.3235,0.1605,0,0.094610918,,,0.1605,0,0.1605
0.9,5,concurrent,0.01,100,Yes,Setting 5,131.2276,196.8421053,0.77888537,0.77888537,40.0767,40.0767,25.5371,25.5371,31.84210526,131.2276,23.7312,8.0108,8.0507,5.1061,2.5636,32.0639,10.4209,10.4267,6.6223,4.594,2.0725,3.065789474,0,0.0078,2.0647,0,0.0076,1,,0.003763571,0.0076,,0.0076,0
0.9,3,concurrent,0.01,100,Yes,Setting 12,138.9896,180.6191505,0.779720768,0.779720768,41.343,41.343,28.1518,28.1518,33.27285817,138.9896,35.9184,17.3927,9.1099,6.1208,3.295,42.6176,18.0231,11.425,7.7095,5.46,1.8548,2.37437005,0.162,0,0,1.6928,0.139,0,0.087340953,,,0.139,0,0.139
1,5,concurrent,0.01,100,Yes,Setting 5,139.4508,190.25,0.779613848,0.779613848,42.6411,42.6411,27.0843,27.0843,32.5390625,139.4508,25.1649,8.5097,8.5134,5.4535,2.6883,25.1649,8.5097,8.5134,5.4535,2.6883,2.1126,3.0390625,0,0.013,2.0996,0,0.0128,1,,0.006153555,0.0128,,0.0128,0
1,7,dynamic,0.01,100,Yes,Setting 12,216.1,283.147541,0.788034402,0.788034402,70.327,70.327,37.723,37.723,43.06270492,216.1,65.2161,32.3081,18.1618,9.2588,5.4874,65.2161,32.3081,18.1618,9.2588,5.4874,2.7056,3.945901639,0.3945,0,0,2.3111,0.245,0,0.145808693,,,0.245,0,0.245
1,3,concurrent,0.01,100,Yes,Setting 12,154.9016,169.4537634,0.782121034,0.782121034,46.4349,46.4349,31.0159,31.0159,31.06236559,154.9016,40.3176,19.6448,10.2523,6.7475,3.673,40.3176,19.6448,10.2523,6.7475,3.673,1.9092,2.316666667,0.2244,0,0,1.6848,0.1862,0,0.117536141,,,0.1862,0,0.1862
0.65,5,concurrent,0.01,100,Yes,Setting 12,126.4224,218.6694215,0.777731709,0.777731709,38.3683,38.3683,24.8429,24.8429,37.35743802,126.4224,34.2927,16.6211,8.9564,5.6065,3.1087,54.5377,18.3929,16.1031,10.4215,9.6202,2.0272,3.169421488,0.0542,0,0,1.973,0.0484,0,0.026736385,,,0.0484,0,0.0484
0.65,3,cohort,0.01,100,Yes,Setting 5,99.6964,131.3333333,0.75,0.75,24.9241,24.9241,24.9241,24.9241,32.83333333,99.6964,17.4488,4.9775,5.0287,4.9772,2.4654,40.0737,10.1841,10.2445,10.194,9.4511,1.7005,2.041666667,0,0.0024,1.6981,0,0.0024,1,,0.00141135,0.0024,,0.0024,0
0.65,7,concurrent,0.01,100,Yes,Setting 5,127.5392,231.6571429,0.777905415,0.777905415,39.1658,39.1658,24.6038,24.6038,35.51428571,127.5392,22.9895,7.8048,7.8226,4.9048,2.4573,51.4858,16.0066,16.0182,10.1065,9.3545,2.1431,3.885714286,0,0.0036,2.1395,0,0.0035,1,,0.00167981,0.0035,,0.0035,0
0.9,7,concurrent,0.01,100,Yes,Setting 5,141.5488,252.2474227,0.779513479,0.779513479,44.0245,44.0245,26.7499,26.7499,39.56701031,141.5488,25.5876,8.7888,8.8244,5.3208,2.6536,34.5997,11.4156,11.4572,6.9239,4.803,2.2292,3.835051546,0,0.01,2.2192,0,0.0098,1,,0.004485914,0.0098,,0.0098,0
0.9,3,cohort,0.01,100,Yes,Setting 5,107.0232,134.4848485,0.75,0.75,26.7558,26.7558,26.7558,26.7558,33.62121212,107.0232,18.7205,5.3208,5.3432,5.3829,2.6736,25.6681,6.9154,6.9278,6.9953,4.8296,1.7358,2.151515152,0,0.0066,1.7292,0,0.0066,1,,0.003802281,0.0066,,0.0066,0
1,3,cohort,0.01,100,Yes,Setting 5,114.1328,146.5142857,0.75,0.75,28.5332,28.5332,28.5332,28.5332,36.62857143,114.1328,19.9695,5.724,5.7086,5.6794,2.8575,19.9695,5.724,5.7086,5.6794,2.8575,1.7588,2.323809524,0,0.0105,1.7483,0,0.0105,1,,0.00596998,0.0105,,0.0105,0
1,7,concurrent,0.01,100,Yes,Setting 5,153.9736,235.1879699,0.7810591,0.7810591,48.347,48.347,28.6398,28.6398,37.22556391,153.9736,27.9393,9.6816,9.651,5.7446,2.8621,27.9393,9.6816,9.651,5.7446,2.8621,2.3139,3.676691729,0,0.0137,2.3002,0,0.0134,1,,0.00592074,0.0134,,0.0134,0
0.9,5,concurrent,0.01,100,Yes,Setting 12,172.3084,234.4800541,0.784534547,0.784534547,54.1555,54.1555,31.9987,31.9987,37.96281271,172.3084,48.2373,23.754,12.9108,7.3823,4.1902,55.7801,24.3978,15.7349,9.0985,6.5489,2.2849,3.237998648,0.1907,0,0,2.0942,0.1484,0,0.083460983,,,0.1484,0,0.1484
1,5,concurrent,0.01,100,Yes,Setting 12,200.5344,227.3731618,0.788643663,0.788643663,63.8431,63.8431,36.4241,36.4241,36.97242647,200.5344,56.9308,28.1685,15.3912,8.5305,4.8406,56.9308,28.1685,15.3912,8.5305,4.8406,2.4511,3.130974265,0.29,0,0,2.1611,0.2192,0,0.118314226,,,0.2192,0,0.2192
0.65,7,concurrent,0.01,100,Yes,Setting 12,139.5168,258.3380855,0.779338621,0.779338621,43.4132,43.4132,26.3452,26.3452,40.99185336,139.5168,39.7957,19.41,10.6734,6.1697,3.5426,60.7319,20.9618,18.4042,11.0805,10.2854,2.223,3.790224033,0.0579,0,0,2.1651,0.0496,0,0.026045884,,,0.0496,0,0.0496
0.65,3,cohort,0.01,100,Yes,Setting 12,104.5688,164.7507331,0.75,0.75,26.1422,26.1422,26.1422,26.1422,41.18768328,104.5688,25.313,10.913,5.6537,5.6966,3.0497,44.0824,12.3763,10.8573,10.826,10.0228,1.7078,2.331378299,0.0344,0,0,1.6734,0.0341,0,0.020142874,,,0.0341,0,0.0341
0.65,5,cohort,0.01,100,Yes,Setting 5,117.056,160.7272727,0.75,0.75,29.264,29.264,29.264,29.264,40.18181818,117.056,20.4541,5.8322,5.8409,5.8636,2.9174,47.0762,11.9817,11.9823,11.9883,11.1239,1.9976,2.590909091,0,0.0022,1.9954,0,0.0022,1,,0.001101322,0.0022,,0.0022,0
0.9,5,cohort,0.01,100,Yes,Setting 5,127.322,185.8795181,0.75,0.75,31.8305,31.8305,31.8305,31.8305,46.46987952,127.322,22.2996,6.3607,6.3621,6.3866,3.1902,30.5734,8.2712,8.257,8.3047,5.7405,2.0621,3.168674699,0,0.0084,2.0537,0,0.0083,1,,0.004073517,0.0083,,0.0083,0
0.9,3,cohort,0.01,100,Yes,Setting 12,132.8008,162.9606587,0.75,0.75,33.2002,33.2002,33.2002,33.2002,40.74016468,132.8008,32.397,13.8701,7.2971,7.2762,3.9536,39.2323,14.4066,9.1683,9.1467,6.5107,1.8406,2.25526075,0.1134,0,0,1.7272,0.1093,0,0.061610344,,,0.1093,0,0.1093
1,5,cohort,0.01,100,Yes,Setting 5,136.6848,207.6893204,0.75,0.75,34.1712,34.1712,34.1712,34.1712,51.9223301,136.6848,23.9006,6.8351,6.8564,6.8248,3.3843,23.9006,6.8351,6.8564,6.8248,3.3843,2.1048,3.184466019,0,0.0103,2.0945,0,0.0103,1,,0.004893577,0.0103,,0.0103,0
0.9,7,concurrent,0.01,100,Yes,Setting 12,195.6672,267.3699284,0.786599961,0.786599961,63.2721,63.2721,34.5615,34.5615,41.04832936,195.6672,58.2081,28.8579,16.1269,8.3471,4.8762,66.1404,29.4347,19.2213,10.1422,7.3422,2.5808,3.748210024,0.2234,0,0,2.3574,0.1681,0,0.086562306,,,0.1681,0,0.1681
1,3,cohort,0.01,100,Yes,Setting 12,148.3332,157.6481481,0.75,0.75,37.0833,37.0833,37.0833,37.0833,39.41203704,148.3332,36.3434,15.5968,8.1089,8.1619,4.4758,36.3434,15.5968,8.1089,8.1619,4.4758,1.9005,2.205026455,0.1613,0,0,1.7392,0.1512,0,0.084872402,,,0.1512,0,0.1512
0.65,7,cohort,0.01,100,Yes,Setting 5,125.792,196.9,0.75,0.75,31.448,31.448,31.448,31.448,49.225,125.792,21.9359,6.2687,6.2904,6.2859,3.0909,50.5771,12.9076,12.9205,12.8387,11.9103,2.1392,3.2,0,0.004,2.1352,0,0.004,1,,0.001869858,0.004,,0.004,0
0.9,7,cohort,0.01,100,Yes,Setting 5,136.5984,233.7230769,0.75,0.75,34.1496,34.1496,34.1496,34.1496,58.43076923,136.5984,23.9079,6.8325,6.8276,6.8228,3.425,32.8177,8.9024,8.8979,8.8592,6.1582,2.2116,3.861538462,0,0.0066,2.205,0,0.0065,1,,0.002984265,0.0065,,0.0065,0
1,7,concurrent,0.01,100,Yes,Setting 12,230.1688,259.80852,0.790843198,0.790843198,75.6489,75.6489,39.4355,39.4355,39.28634168,230.1688,69.8702,34.7726,19.6495,9.6666,5.7815,69.8702,34.7726,19.6495,9.6666,5.7815,2.8183,3.678963549,0.332,0,0,2.4863,0.2287,0,0.117801512,,,0.2287,0,0.2287
1,7,cohort,0.01,100,Yes,Setting 5,145.5252,220.3157895,0.75,0.75,36.3813,36.3813,36.3813,36.3813,55.07894737,145.5252,25.508,7.3092,7.3106,7.2587,3.6295,25.508,7.3092,7.3106,7.2587,3.6295,2.2449,3.561403509,0,0.0114,2.2335,0,0.0114,1,,0.005078177,0.0114,,0.0114,0
0.65,3,all,0.03,100,Yes,Setting 5,150.8464,179.5897436,0.809933157,0.809933157,48.26,48.26,27.1632,27.1632,29.23076923,150.8464,27.4389,9.6406,9.6399,5.4205,2.7379,60.984,19.7842,19.7628,11.1657,10.2713,2.5699,2.794871795,0,0.0039,2.566,0,0.0039,1,,0.001517569,0.0039,,0.0039,0
0.65,5,cohort,0.01,100,Yes,Setting 12,124.8796,198.161039,0.75,0.75,31.2199,31.2199,31.2199,31.2199,49.54025974,124.8796,31.8544,13.4105,7.1841,7.1876,4.0722,53.2345,14.9306,13.0929,13.0708,12.1402,2.0359,2.979220779,0.0393,0,0,1.9966,0.0385,0,0.019303502,,,0.0385,0,0.0385
0.9,3,all,0.03,100,Yes,Setting 5,163.8576,200.4040404,0.811452759,0.811452759,52.6278,52.6278,29.301,29.301,33.16161616,163.8576,29.7995,10.4912,10.5396,5.8469,2.9218,40.1892,13.6359,13.7123,7.578,5.263,2.6103,2.838383838,0,0.01,2.6003,0,0.0099,1,,0.003830977,0.0099,,0.0099,0
1,3,all,0.03,100,Yes,Setting 5,171.8072,189.0107527,0.812298303,0.812298303,55.3691,55.3691,30.5345,30.5345,30.88709677,171.8072,31.3334,11.0988,11.0929,6.0759,3.0658,31.3334,11.0988,11.0929,6.0759,3.0658,2.6168,2.844086022,0,0.0196,2.5972,0,0.0186,1,,0.007490064,0.0186,,0.0186,0
0.9,5,cohort,0.01,100,Yes,Setting 12,164.0288,211.954023,0.75,0.75,41.0072,41.0072,41.0072,41.0072,52.98850575,164.0288,42.5872,17.8127,9.663,9.5992,5.5123,50.4961,18.3755,11.8151,11.7758,8.5297,2.2832,3.132183908,0.129,0,0,2.1542,0.1218,0,0.05649965,,,0.1218,0,0.1218
0.65,7,cohort,0.01,100,Yes,Setting 12,133.7288,222.6838046,0.75,0.75,33.4322,33.4322,33.4322,33.4322,55.67095116,133.7288,35.4415,14.7177,8.0292,8.0239,4.6707,57.3486,16.0691,14.1105,14.113,13.056,2.1866,3.519280206,0.0401,0,0,2.1465,0.0389,0,0.018338974,,,0.0389,0,0.0389
1,5,cohort,0.01,100,Yes,Setting 12,187.5304,202.9303944,0.75,0.75,46.8826,46.8826,46.8826,46.8826,50.73259861,187.5304,49.0538,20.52,11.0697,11.0668,6.3973,49.0538,20.52,11.0697,11.0668,6.3973,2.4094,2.991299304,0.1882,0,0,2.2212,0.1724,0,0.078110733,,,0.1724,0,0.1724
