ShortTermEndpointQuality,Maximumnumberofcohorts,TypeofDataSharing,CohortInclusionRate,FinalCohortSampleSize,InterimFutilityStopping,TreatmentEfficacySetting,Avg_Pat,Avg_Pat_First_Suc,Avg_Perc_Pat_Sup_Plac,Avg_Cohorts,FDR,PTP,PTT1ER,FWER,Disj_Power,FWER_BA,Disj_Power_BA
0.9,5,dynamic,0.01,100,Yes,5,123.2828,215.2307692,0.777465849,2.0153,1,,0.002629881,0.0052,,0.0052,0
1,5,dynamic,0.01,100,Yes,5,129.8084,197.9405941,0.778313629,2.0513,1,,0.004972456,0.0101,,0.0101,0
1,3,dynamic,0.01,100,Yes,12,145.6288,165.0133333,0.780508662,1.8774,0,0.103281133,,,0.1653,0,0.1653
0.65,5,dynamic,0.01,100,Yes,12,124.4596,238.3069767,0.777498725,2.0189,0,0.024122047,,,0.0431,0,0.0431
0.65,7,dynamic,0.01,100,Yes,5,123.7732,260.8571429,0.777383744,2.1126,1,,0.000662691,0.0014,,0.0014,0
0.9,7,dynamic,0.01,100,Yes,5,133.4192,251.8431373,0.778577608,2.1793,1,,0.002386087,0.0052,,0.0052,0
0.65,7,dynamic,0.01,100,Yes,12,134.596,294.3157895,0.778757892,2.1753,0,0.025513722,,,0.0459,0,0.0459
0.9,5,dynamic,0.01,100,Yes,12,168.624,258.6327078,0.783788425,2.2811,0,0.087545482,,,0.1497,0,0.1497
0.65,3,concurrent,0.01,100,Yes,5,100.5116,134.4827586,0.774067851,1.6974,1,,0.001708495,0.0029,,0.0029,0
0.9,3,concurrent,0.01,100,Yes,5,108.7512,157.375,0.774567482,1.7254,1,,0.003709285,0.0064,,0.0064,0
1,5,dynamic,0.01,100,Yes,12,188.6232,232.6577859,0.786352616,2.3812,0,0.128590627,,,0.2185,0,0.2185
1,3,concurrent,0.01,100,Yes,5,116.0996,163.6049383,0.776114154,1.7552,1,,0.004728806,0.0081,,0.0081,0
1,7,dynamic,0.01,100,Yes,5,140.0824,238.122449,0.779085778,2.2117,1,,0.004702265,0.0098,,0.0098,0
0.65,5,concurrent,0.01,100,Yes,5,117.9452,219.2380952,0.777090467,1.9954,1,,0.001102536,0.0022,,0.0022,0
0.65,3,concurrent,0.01,100,Yes,12,107.292,176.7702407,0.774783599,1.7247,0,0.028700644,,,0.0457,0,0.0457
0.9,7,dynamic,0.01,100,Yes,12,192.2584,316.6633292,0.785589525,2.5663,0,0.094610918,,,0.1605,0,0.1605
0.9,5,concurrent,0.01,100,Yes,5,131.2276,196.8421053,0.77888537,2.0725,1,,0.003763571,0.0076,,0.0076,0
0.9,3,concurrent,0.01,100,Yes,12,138.9896,180.6191505,0.779720768,1.8548,0,0.087340953,,,0.139,0,0.139
1,5,concurrent,0.01,100,Yes,5,139.4508,190.25,0.779613848,2.1126,1,,0.006153555,0.0128,,0.0128,0
1,7,dynamic,0.01,100,Yes,12,216.1,283.147541,0.788034402,2.7056,0,0.145808693,,,0.245,0,0.245
1,3,concurrent,0.01,100,Yes,12,154.9016,169.4537634,0.782121034,1.9092,0,0.117536141,,,0.1862,0,0.1862
0.65,5,concurrent,0.01,100,Yes,12,126.4224,218.6694215,0.777731709,2.0272,0,0.026736385,,,0.0484,0,0.0484
0.65,3,cohort,0.01,100,Yes,5,99.6964,131.3333333,0.75,1.7005,1,,0.00141135,0.0024,,0.0024,0
0.65,7,concurrent,0.01,100,Yes,5,127.5392,231.6571429,0.777905415,2.1431,1,,0.00167981,0.0035,,0.0035,0
0.9,7,concurrent,0.01,100,Yes,5,141.5488,252.2474227,0.779513479,2.2292,1,,0.004485914,0.0098,,0.0098,0
0.9,3,cohort,0.01,100,Yes,5,107.0232,134.4848485,0.75,1.7358,1,,0.003802281,0.0066,,0.0066,0
1,3,cohort,0.01,100,Yes,5,114.1328,146.5142857,0.75,1.7588,1,,0.00596998,0.0105,,0.0105,0
1,7,concurrent,0.01,100,Yes,5,153.9736,235.1879699,0.7810591,2.3139,1,,0.00592074,0.0134,,0.0134,0
0.9,5,concurrent,0.01,100,Yes,12,172.3084,234.4800541,0.784534547,2.2849,0,0.083460983,,,0.1484,0,0.1484
1,5,concurrent,0.01,100,Yes,12,200.5344,227.3731618,0.788643663,2.4511,0,0.118314226,,,0.2192,0,0.2192
0.65,7,concurrent,0.01,100,Yes,12,139.5168,258.3380855,0.779338621,2.223,0,0.026045884,,,0.0496,0,0.0496
0.65,3,cohort,0.01,100,Yes,12,104.5688,164.7507331,0.75,1.7078,0,0.020142874,,,0.0341,0,0.0341
0.65,5,cohort,0.01,100,Yes,5,117.056,160.7272727,0.75,1.9976,1,,0.001101322,0.0022,,0.0022,0
0.9,5,cohort,0.01,100,Yes,5,127.322,185.8795181,0.75,2.0621,1,,0.004073517,0.0083,,0.0083,0
0.9,3,cohort,0.01,100,Yes,12,132.8008,162.9606587,0.75,1.8406,0,0.061610344,,,0.1093,0,0.1093
1,5,cohort,0.01,100,Yes,5,136.6848,207.6893204,0.75,2.1048,1,,0.004893577,0.0103,,0.0103,0
0.9,7,concurrent,0.01,100,Yes,12,195.6672,267.3699284,0.786599961,2.5808,0,0.086562306,,,0.1681,0,0.1681
1,3,cohort,0.01,100,Yes,12,148.3332,157.6481481,0.75,1.9005,0,0.084872402,,,0.1512,0,0.1512
0.65,7,cohort,0.01,100,Yes,5,125.792,196.9,0.75,2.1392,1,,0.001869858,0.004,,0.004,0
0.9,7,cohort,0.01,100,Yes,5,136.5984,233.7230769,0.75,2.2116,1,,0.002984265,0.0065,,0.0065,0
1,7,concurrent,0.01,100,Yes,12,230.1688,259.80852,0.790843198,2.8183,0,0.117801512,,,0.2287,0,0.2287
1,7,cohort,0.01,100,Yes,5,145.5252,220.3157895,0.75,2.2449,1,,0.005078177,0.0114,,0.0114,0
0.65,3,all,0.03,100,Yes,5,150.8464,179.5897436,0.809933157,2.5699,1,,0.001517569,0.0039,,0.0039,0
0.65,5,cohort,0.01,100,Yes,12,124.8796,198.161039,0.75,2.0359,0,0.019303502,,,0.0385,0,0.0385
0.9,3,all,0.03,100,Yes,5,163.8576,200.4040404,0.811452759,2.6103,1,,0.003830977,0.0099,,0.0099,0
1,3,all,0.03,100,Yes,5,171.8072,189.0107527,0.812298303,2.6168,1,,0.007490064,0.0186,,0.0186,0
0.9,5,cohort,0.01,100,Yes,12,164.0288,211.954023,0.75,2.2832,0,0.05649965,,,0.1218,0,0.1218
0.65,7,cohort,0.01,100,Yes,12,133.7288,222.6838046,0.75,2.1866,0,0.018338974,,,0.0389,0,0.0389
1,5,cohort,0.01,100,Yes,12,187.5304,202.9303944,0.75,2.4094,0,0.078110733,,,0.1724,0,0.1724
0.65,3,all,0.03,100,Yes,12,159.8952,220.6137566,0.811138454,2.588,0,0.033616692,,,0.0756,0,0.0756
0.9,7,cohort,0.01,100,Yes,12,181.7256,232.559375,0.75,2.5362,0,0.055161265,,,0.128,0,0.128
0.65,5,all,0.03,100,Yes,5,237.5752,314.7636364,0.830400103,4.0053,1,,0.001373181,0.0055,,0.0055,0
0.9,3,all,0.03,100,Yes,12,205.1044,226.0474517,0.817595828,2.6938,0,0.115116193,,,0.2282,0,0.2282
0.9,5,all,0.03,100,Yes,5,259.6292,297.8848168,0.83314849,4.0825,1,,0.004776485,0.0192,,0.0192,0
0.65,3,dynamic,0.03,100,Yes,5,148.9604,176.8,0.809319313,2.5682,1,,0.001207071,0.003,,0.003,0
1,3,all,0.03,100,Yes,12,224.2244,213.5054037,0.821121946,2.7339,0,0.165477889,,,0.316,0,0.316
1,7,cohort,0.01,100,Yes,12,208.964,229.0571737,0.75,2.7146,0,0.07640168,,,0.1854,0,0.1854
0.9,3,dynamic,0.03,100,Yes,5,156.562,170.2372881,0.809884488,2.5857,1,,0.002281781,0.0059,,0.0059,0
1,5,all,0.03,100,Yes,5,276.2668,307.2852665,0.835188878,4.1531,1,,0.008307048,0.0321,,0.0321,0
1,3,dynamic,0.03,100,Yes,5,161.6964,184.3214286,0.810461414,2.6026,1,,0.004341812,0.0112,,0.0112,0
0.65,7,all,0.03,100,Yes,5,321.3656,394.7619048,0.839967129,5.3667,1,,0.001621108,0.0084,,0.0084,0
0.9,7,all,0.03,100,Yes,5,354.5336,421.0827068,0.843727985,5.505,1,,0.005304269,0.0268,,0.0268,0
0.65,5,all,0.03,100,Yes,12,257.954,339.9813665,0.832668104,4.0667,0,0.043057024,,,0.1291,0,0.1291
1,7,all,0.03,100,Yes,5,380.3716,413.4512472,0.846911044,5.6367,1,,0.00890592,0.0444,,0.0444,0
1,5,all,0.03,100,Yes,12,370.3868,325.3536718,0.849861644,4.4384,0,0.202054795,,,0.46,0,0.46
0.9,5,all,0.03,100,Yes,12,336.078,352.3318078,0.843000216,4.2904,0,0.143856051,,,0.3503,0,0.3503
0.65,3,dynamic,0.03,100,Yes,12,158.3928,212.0996169,0.810358303,2.596,0,0.022072419,,,0.0524,0,0.0524
0.65,5,dynamic,0.03,100,Yes,5,235.16,302.2439024,0.829376896,3.9946,1,,0.001026386,0.0041,,0.0041,0
0.9,3,dynamic,0.03,100,Yes,12,194.522,218.2601331,0.815027354,2.6733,0,0.076497213,,,0.1657,0,0.1657
0.9,5,dynamic,0.03,100,Yes,5,249.98,308.5714286,0.830920477,4.0435,1,,0.002473105,0.0099,,0.0099,0
1,3,dynamic,0.03,100,Yes,12,211.5496,205.81491,0.817819369,2.7159,0,0.107662285,,,0.2342,0,0.2342
1,5,dynamic,0.03,100,Yes,5,260.9764,280.0993789,0.832560564,4.0999,1,,0.004097661,0.0161,,0.0161,0
0.65,7,all,0.03,100,Yes,12,351.2016,457.1945701,0.842645212,5.4538,0,0.05112032,,,0.1772,0,0.1772
0.65,3,concurrent,0.03,100,Yes,5,153.3344,182.8421053,0.810300476,2.5836,1,,0.001548227,0.0039,,0.0039,0
1,3,concurrent,0.03,100,Yes,5,174.1488,196.2416107,0.812233922,2.6221,1,,0.005873155,0.0152,,0.0152,0
0.9,3,concurrent,0.03,100,Yes,5,165.8996,197.8715596,0.811329964,2.6074,1,,0.004372172,0.0109,,0.0109,0
0.65,7,dynamic,0.03,100,Yes,5,315.5204,390.6666667,0.839157093,5.3422,1,,0.000898506,0.0046,,0.0046,0
0.9,7,all,0.03,100,Yes,12,472.0644,458.7692308,0.857373201,5.8899,0,0.17844106,,,0.4499,0,0.4499
1,7,dynamic,0.03,100,Yes,5,355.1576,387.6653386,0.84301019,5.4887,1,,0.00486454,0.0254,,0.0254,0
0.9,7,dynamic,0.03,100,Yes,5,338.7432,404.4183007,0.840770842,5.4117,1,,0.0029196,0.0153,,0.0153,0
1,7,all,0.03,100,Yes,12,515.5792,423.5401621,0.864684163,6.1153,0,0.235818357,,,0.544,0,0.544
0.65,5,dynamic,0.03,100,Yes,12,253.9096,332.6,0.831704935,4.0547,0,0.026660419,,,0.0924,0,0.0924
1,5,dynamic,0.03,100,Yes,12,350.2924,330.4675615,0.845328403,4.3515,0,0.132138343,,,0.3589,0,0.3589
0.9,5,dynamic,0.03,100,Yes,12,321.1724,352.7637162,0.840582577,4.2539,0,0.094125391,,,0.2745,0,0.2745
0.65,5,concurrent,0.03,100,Yes,5,241.0528,275.2222222,0.830089394,4.0019,1,,0.001849122,0.0073,,0.0073,0
0.9,5,concurrent,0.03,100,Yes,5,263.614,283.3658537,0.833444112,4.0949,1,,0.004127085,0.0166,,0.0166,0
1,5,concurrent,0.03,100,Yes,5,280.5888,289.7106109,0.835237263,4.1477,1,,0.008100875,0.0313,,0.0313,0
0.65,3,concurrent,0.03,100,Yes,12,162.2532,216.6621067,0.810577135,2.5897,0,0.032127273,,,0.0731,0,0.0731
0.9,3,concurrent,0.03,100,Yes,12,205.1628,219.8587767,0.817304284,2.6929,0,0.095956033,,,0.202,0,0.202
0.65,7,dynamic,0.03,100,Yes,12,348.7104,447.9738941,0.8425855,5.4904,0,0.032930205,,,0.138,0,0.138
1,3,concurrent,0.03,100,Yes,12,225.3684,207.2852941,0.821743282,2.7446,0,0.131786053,,,0.2727,0,0.2727
0.65,7,concurrent,0.03,100,Yes,5,325.5628,380.5714286,0.839654656,5.3638,1,,0.001435549,0.0077,,0.0077,0
0.65,3,cohort,0.03,100,Yes,5,151.7748,189.5384615,0.75,2.5869,1,,0.001005064,0.0026,,0.0026,0
0.9,3,cohort,0.03,100,Yes,5,160.6444,172.5176471,0.75,2.5963,1,,0.00327389,0.0085,,0.0085,0
1,3,cohort,0.03,100,Yes,5,170.33,175.1818182,0.75,2.6213,1,,0.005035669,0.0132,,0.0132,0
0.9,7,concurrent,0.03,100,Yes,5,358.0592,392.0333333,0.843834246,5.5065,1,,0.004630891,0.0243,,0.0243,0
0.9,7,dynamic,0.03,100,Yes,12,450.0024,467.9521691,0.854064635,5.8099,0,0.111568185,,,0.361,0,0.361
1,7,concurrent,0.03,100,Yes,5,382.1112,374.7692308,0.846949808,5.6131,1,,0.007446865,0.04,,0.04,0
1,7,dynamic,0.03,100,Yes,12,492.228,437.2081174,0.860172158,5.9908,0,0.157558256,,,0.4648,0,0.4648
0.65,5,concurrent,0.03,100,Yes,12,262.2316,332.6813627,0.833272099,4.09,0,0.030293399,,,0.1002,0,0.1002
0.65,5,cohort,0.03,100,Yes,5,236.1244,277.8723404,0.75,4.0255,1,,0.001167557,0.0047,,0.0047,0
0.9,5,concurrent,0.03,100,Yes,12,329.9464,342.4973384,0.842416553,4.273,0,0.09508542,,,0.2647,0,0.2647
0.9,5,cohort,0.03,100,Yes,5,250.7348,280.8372093,0.75,4.0661,1,,0.00322176,0.0129,,0.0129,0
1,5,concurrent,0.03,100,Yes,12,367.9984,322.7870968,0.849439133,4.4176,0,0.131881565,,,0.3584,0,0.3584
1,5,cohort,0.03,100,Yes,5,269.944,288.3762376,0.75,4.162,1,,0.004877463,0.0202,,0.0202,0
0.65,3,cohort,0.03,100,Yes,12,158.5708,201.1907757,0.75,2.6011,0,0.018645957,,,0.0477,0,0.0477
0.9,3,all,0.01,200,Yes,5,282.0008,384.3137255,0.796456691,2.2601,1,,0.007035087,0.0154,,0.0154,0
0.9,3,cohort,0.03,100,Yes,12,193.4752,204.5903022,0.75,2.68,0,0.05641791,,,0.1423,0,0.1423
0.65,7,concurrent,0.03,100,Yes,12,351.9764,432.6156352,0.842988387,5.4534,0,0.029907947,,,0.124,0,0.124
1,3,cohort,0.03,100,Yes,12,212.3324,195.8937531,0.75,2.7347,0,0.079935642,,,0.2033,0,0.2033
0.65,3,all,0.01,200,Yes,5,255.0512,364.1311475,0.794939402,2.2194,1,,0.002883662,0.0061,,0.0061,0
0.65,7,cohort,0.03,100,Yes,5,319.904,357.0344828,0.75,5.4548,1,,0.001063284,0.0058,,0.0058,0
1,3,all,0.01,200,Yes,5,300.4444,363.2,0.797482091,2.2885,1,,0.013065327,0.0285,,0.0285,0
0.9,7,concurrent,0.03,100,Yes,12,460.3948,439.6973239,0.856839794,5.8906,0,0.099225885,,,0.3277,0,0.3277
1,7,concurrent,0.03,100,Yes,12,509.954,422.5926103,0.86377751,6.0983,0,0.13028221,,,0.4223,0,0.4223
0.9,7,cohort,0.03,100,Yes,5,340.11,368.2105263,0.75,5.5311,1,,0.003182007,0.0171,,0.0171,0
1,7,cohort,0.03,100,Yes,5,365.8108,371.8088737,0.75,5.6407,1,,0.005247576,0.0293,,0.0293,0
0.65,5,cohort,0.03,100,Yes,12,249.544,300.6787879,0.75,4.0804,0,0.016591511,,,0.066,0,0.066
0.9,5,cohort,0.03,100,Yes,12,307.9396,303.4154786,0.75,4.3081,0,0.050579142,,,0.1964,0,0.1964
0.65,5,all,0.01,200,Yes,5,358.0168,566.9019608,0.80657224,3.1026,1,,0.003319796,0.0102,,0.0102,0
1,5,cohort,0.03,100,Yes,12,340.6316,299.8196949,0.75,4.4183,0,0.074553561,,,0.2884,0,0.2884
0.9,5,all,0.01,200,Yes,5,411.7984,585.3071895,0.810014667,3.2439,1,,0.009864669,0.0307,,0.0307,0
1,5,all,0.01,200,Yes,5,449.0944,594.4491363,0.813421944,3.38,1,,0.016597633,0.0523,,0.0523,0
0.65,3,all,0.01,200,Yes,12,282.5644,411.2131148,0.796211196,2.266,0,0.097837599,,,0.1711,0,0.1711
0.65,3,dynamic,0.01,200,Yes,5,249.5048,371.0857143,0.794338141,2.2076,1,,0.001585432,0.0035,,0.0035,0
0.65,7,all,0.01,200,Yes,5,453.2688,740.9491525,0.812451627,3.9038,1,,0.00312516,0.0118,,0.0118,0
0.65,7,cohort,0.03,100,Yes,12,338.228,394.1126761,0.75,5.5322,0,0.016268392,,,0.0852,0,0.0852
0.9,3,all,0.01,200,Yes,12,386.4392,407.6943174,0.805291977,2.4422,0,0.312955532,,,0.4594,0,0.4594
0.9,3,dynamic,0.01,200,Yes,5,271.6868,383.2481203,0.795305057,2.239,1,,0.006029477,0.0133,,0.0133,0
1,3,all,0.01,200,Yes,12,412.8692,368.1504274,0.809343542,2.5233,0,0.408948599,,,0.5853,0,0.5853
1,3,dynamic,0.01,200,Yes,5,287.7748,388.7017544,0.795959653,2.2651,1,,0.007725928,0.0171,,0.0171,0
0.9,7,cohort,0.03,100,Yes,12,415.59,403.904026,0.75,5.8767,0,0.048207327,,,0.2459,0,0.2459
1,7,cohort,0.03,100,Yes,12,462.898,388.971831,0.75,6.0877,0,0.068022406,,,0.3408,0,0.3408
0.9,7,all,0.01,200,Yes,5,527.6888,785.6605505,0.816872562,4.1233,1,,0.011422889,0.0437,,0.0437,0
1,7,all,0.01,200,Yes,5,573.2688,769.9911111,0.820092281,4.2857,1,,0.017943393,0.0681,,0.0681,0
0.65,5,all,0.01,200,Yes,12,415.2824,603.3802331,0.810445181,3.2675,0,0.115990819,,,0.2319,0,0.2319
0.65,5,dynamic,0.01,200,Yes,5,356.5436,585.8039216,0.806786784,3.1252,1,,0.001695891,0.0051,,0.0051,0
0.9,5,dynamic,0.01,200,Yes,5,397.862,571.9796954,0.809456303,3.2315,1,,0.006312858,0.0198,,0.0198,0
1,5,dynamic,0.01,200,Yes,5,426.8704,557.4102564,0.811155278,3.3161,1,,0.009800669,0.0312,,0.0312,0
0.9,5,all,0.01,200,Yes,12,593.4836,576.1893748,0.824893645,3.7093,0,0.374679859,,,0.5537,0,0.5537
1,5,all,0.01,200,Yes,12,620.4068,500.2388773,0.829143052,3.8425,0,0.468054652,,,0.67,0,0.67
0.65,3,dynamic,0.01,200,Yes,12,272.7672,412.8804841,0.795035012,2.2295,0,0.072258354,,,0.1325,0,0.1325
0.65,3,concurrent,0.01,200,Yes,5,251.7752,343.5428571,0.794608214,2.2055,1,,0.001586942,0.0035,,0.0035,0
0.9,3,concurrent,0.01,200,Yes,5,283.9356,377.0823529,0.79656745,2.2703,1,,0.007752279,0.017,,0.017,0
1,3,concurrent,0.01,200,Yes,5,302.7472,369.9674797,0.797934141,2.3008,1,,0.010952712,0.0247,,0.0247,0
0.65,7,dynamic,0.01,200,Yes,5,446.9216,739.7647059,0.811776226,3.8871,1,,0.00218672,0.0085,,0.0085,0
0.65,7,all,0.01,200,Yes,12,533.6552,764.2281977,0.817086434,4.1288,0,0.138950785,,,0.2755,0,0.2755
0.9,3,dynamic,0.01,200,Yes,12,374.9144,409.9632754,0.803636079,2.4261,0,0.242116978,,,0.4038,0,0.4038
1,7,dynamic,0.01,200,Yes,5,546.3548,769.1282051,0.817831448,4.1889,1,,0.011196257,0.0432,,0.0432,0
0.9,7,dynamic,0.01,200,Yes,5,520.5396,797.2623574,0.817032165,4.16,1,,0.006658654,0.0264,,0.0264,0
1,3,dynamic,0.01,200,Yes,12,408.5688,384.0665774,0.80774867,2.5025,0,0.335864136,,,0.5237,0,0.5237
0.9,7,all,0.01,200,Yes,12,792.1912,699.9476908,0.835460815,4.9125,0,0.430127226,,,0.6042,0,0.6042
0.65,5,concurrent,0.01,200,Yes,5,359.3952,561.9076923,0.806609095,3.1204,1,,0.002083066,0.0065,,0.0065,0
1,7,all,0.01,200,Yes,12,814.424,590.8009552,0.839844925,5.1119,0,0.515150922,,,0.712,0,0.712
0.9,5,concurrent,0.01,200,Yes,5,416.3576,543.5873016,0.811403176,3.2987,1,,0.007972838,0.0252,,0.0252,0
0.65,5,dynamic,0.01,200,Yes,12,399.3432,598.9682702,0.808586385,3.1988,0,0.088626985,,,0.1955,0,0.1955
1,5,concurrent,0.01,200,Yes,5,448.396,546.6849315,0.813113366,3.3736,1,,0.011412141,0.0368,,0.0368,0
0.65,3,cohort,0.01,200,Yes,5,250.13,381.9310345,0.75,2.2084,1,,0.001313168,0.0029,,0.0029,0
0.65,7,concurrent,0.01,200,Yes,5,452.266,710.0235294,0.812959513,3.9234,1,,0.002268441,0.0086,,0.0086,0
1,5,dynamic,0.01,200,Yes,12,624.856,531.9664079,0.828308619,3.842,0,0.380270692,,,0.6313,0,0.6313
0.9,5,dynamic,0.01,200,Yes,12,579.8796,587.6130536,0.823521592,3.682,0,0.295437262,,,0.5153,0,0.5153
0.9,3,cohort,0.01,200,Yes,5,279.13,348.8064516,0.75,2.2725,1,,0.00550055,0.0124,,0.0124,0
0.9,7,concurrent,0.01,200,Yes,5,522.726,718.6759582,0.816917772,4.1248,1,,0.00727308,0.0288,,0.0288,0
0.65,3,concurrent,0.01,200,Yes,12,277.3172,397.5107415,0.795746281,2.254,0,0.07675244,,,0.1444,0,0.1444
1,3,cohort,0.01,200,Yes,5,300.1,336.3451777,0.75,2.301,1,,0.008604954,0.0197,,0.0197,0
1,7,concurrent,0.01,200,Yes,5,572.458,725.4321881,0.820244684,4.3046,1,,0.01400827,0.0556,,0.0556,0
0.65,7,dynamic,0.01,200,Yes,12,514.918,777.2868543,0.815294643,4.0504,0,0.10260715,,,0.2383,0,0.2383
0.9,3,concurrent,0.01,200,Yes,12,386.908,402.7120268,0.805652272,2.4509,0,0.259782121,,,0.4177,0,0.4177
1,3,concurrent,0.01,200,Yes,12,416.6748,369.1573566,0.808345736,2.5011,0,0.342489305,,,0.5283,0,0.5283
0.9,7,dynamic,0.01,200,Yes,12,777.628,728.6143155,0.833868351,4.8488,0,0.340970962,,,0.5762,0,0.5762
1,7,dynamic,0.01,200,Yes,12,826.1412,637.0865286,0.839448115,5.126,0,0.419137729,,,0.6814,0,0.6814
0.65,5,cohort,0.01,200,Yes,5,354.7,507.483871,0.75,3.1321,1,,0.001979503,0.0062,,0.0062,0
0.9,5,cohort,0.01,200,Yes,5,399.44,493.414966,0.75,3.2456,1,,0.004621642,0.0147,,0.0147,0
0.65,5,concurrent,0.01,200,Yes,12,405.552,581.8427708,0.810143991,3.2462,0,0.076705071,,,0.182,0,0.182
1,5,cohort,0.01,200,Yes,5,435.11,482.7849829,0.75,3.3389,1,,0.008895145,0.0293,,0.0293,0
0.65,3,all,0.03,200,Yes,5,334.2068,417.0625,0.835989776,2.9157,1,,0.002263607,0.0065,,0.0065,0
0.9,3,all,0.03,200,Yes,5,365.2096,410.6478873,0.835223595,2.9217,1,,0.007529863,0.0215,,0.0215,0
0.9,5,concurrent,0.01,200,Yes,12,593.6088,563.0952381,0.825648641,3.7389,0,0.263098772,,,0.4962,0,0.4962
1,3,all,0.03,200,Yes,5,386.0776,397.5243243,0.83527396,2.9328,1,,0.01309329,0.0373,,0.0373,0
1,5,concurrent,0.01,200,Yes,12,638.3016,506.8249589,0.829417194,3.8467,0,0.341253542,,,0.6097,0,0.6097
0.65,7,cohort,0.01,200,Yes,5,442.01,654.031746,0.75,3.9089,1,,0.001637289,0.0063,,0.0063,0
0.65,3,cohort,0.01,200,Yes,12,272.82,376.5443235,0.75,2.2517,0,0.060798508,,,0.1286,0,0.1286
0.65,7,concurrent,0.01,200,Yes,12,516.5428,717.6763723,0.816653622,4.1124,0,0.077059625,,,0.2096,0,0.2096
0.9,7,cohort,0.01,200,Yes,5,507.11,659.34,0.75,4.1295,1,,0.004891633,0.02,,0.02,0
0.9,3,cohort,0.01,200,Yes,12,369.3,383.1440195,0.75,2.4368,0,0.17777413,,,0.3687,0,0.3687
1,3,cohort,0.01,200,Yes,12,410.19,363.5167895,0.75,2.508,0,0.239393939,,,0.4884,0,0.4884
1,7,cohort,0.01,200,Yes,5,560.21,675.6618076,0.75,4.2991,1,,0.008117978,0.0343,,0.0343,0
0.65,5,all,0.03,200,Yes,5,559.0612,652.2153846,0.869981811,4.8303,1,,0.002794857,0.0131,,0.0131,0
